timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:52:17.702,3.459,1.544105
2025-09-08 23:52:17.709,3.466,1.555627
2025-09-08 23:52:17.716,3.473,1.555855
2025-09-08 23:52:17.723,3.480,1.552184
2025-09-08 23:52:17.730,3.487,1.552423
2025-09-08 23:52:17.737,3.494,1.562418
2025-09-08 23:52:17.744,3.500,1.551261
2025-09-08 23:52:17.751,3.507,1.558693
2025-09-08 23:52:17.758,3.514,1.588216
2025-09-08 23:52:17.765,3.521,1.581248
2025-09-08 23:52:17.772,3.528,1.573987
2025-09-08 23:52:17.779,3.535,1.584745
2025-09-08 23:52:17.786,3.542,1.606587
2025-09-08 23:52:17.793,3.549,1.613331
2025-09-08 23:52:17.800,3.556,1.614621
2025-09-08 23:52:17.807,3.563,1.614403
2025-09-08 23:52:17.814,3.570,1.636107
2025-09-08 23:52:17.821,3.577,1.651140
2025-09-08 23:52:17.828,3.584,1.661652
2025-09-08 23:52:17.834,3.591,1.702315
2025-09-08 23:52:17.841,3.598,1.713852
2025-09-08 23:52:17.848,3.605,1.738697
2025-09-08 23:52:17.855,3.612,1.739346
2025-09-08 23:52:17.862,3.619,1.750361
2025-09-08 23:52:17.869,3.626,1.775863
2025-09-08 23:52:17.876,3.633,1.757028
2025-09-08 23:52:17.883,3.640,1.720044
2025-09-08 23:52:17.890,3.647,1.716841
2025-09-08 23:52:17.897,3.654,1.727870
2025-09-08 23:52:17.904,3.661,1.727538
2025-09-08 23:52:17.911,3.668,1.712761
2025-09-08 23:52:17.918,3.675,1.668990
2025-09-08 23:52:17.925,3.682,1.664953
2025-09-08 23:52:17.932,3.689,1.672208
2025-09-08 23:52:17.939,3.696,1.683311
2025-09-08 23:52:17.946,3.703,1.676523
2025-09-08 23:52:17.953,3.710,1.661232
2025-09-08 23:52:17.960,3.717,1.654173
2025-09-08 23:52:17.967,3.724,1.657432
2025-09-08 23:52:17.974,3.731,1.684477
2025-09-08 23:52:17.981,3.738,1.684016
2025-09-08 23:52:17.988,3.745,1.702716
2025-09-08 23:52:17.995,3.752,1.702242
2025-09-08 23:52:18.002,3.759,1.720653
2025-09-08 23:52:18.009,3.766,1.720102
2025-09-08 23:52:18.016,3.773,1.739386
2025-09-08 23:52:18.023,3.780,1.738288
2025-09-08 23:52:18.030,3.787,1.739031
2025-09-08 23:52:18.037,3.794,1.745905
2025-09-08 23:52:18.044,3.801,1.760678
2025-09-08 23:52:18.051,3.808,1.756405
2025-09-08 23:52:18.058,3.815,1.753619
2025-09-08 23:52:18.065,3.822,1.761141
2025-09-08 23:52:18.072,3.829,1.757387
2025-09-08 23:52:18.079,3.836,1.764177
2025-09-08 23:52:18.086,3.843,1.759906
2025-09-08 23:52:18.093,3.850,1.768558
2025-09-08 23:52:18.100,3.857,1.761304
2025-09-08 23:52:18.107,3.864,1.753868
2025-09-08 23:52:18.114,3.871,1.764174
2025-09-08 23:52:18.121,3.877,1.772160
2025-09-08 23:52:18.128,3.884,1.756927
2025-09-08 23:52:18.135,3.891,1.760975
2025-09-08 23:52:18.142,3.898,1.757010
2025-09-08 23:52:18.149,3.905,1.760692
2025-09-08 23:52:18.156,3.912,1.768728
2025-09-08 23:52:18.163,3.919,1.761189
2025-09-08 23:52:18.170,3.926,1.764167
2025-09-08 23:52:18.177,3.933,1.760634
2025-09-08 23:52:18.185,3.941,1.753862
2025-09-08 23:52:18.192,3.948,1.753859
2025-09-08 23:52:18.199,3.955,1.746920
2025-09-08 23:52:18.206,3.962,1.753847
2025-09-08 23:52:18.212,3.969,1.746177
2025-09-08 23:52:18.219,3.976,1.745579
2025-09-08 23:52:18.226,3.983,1.742085
2025-09-08 23:52:18.233,3.990,1.738644
2025-09-08 23:52:18.240,3.997,1.734777
2025-09-08 23:52:18.247,4.004,1.731339
2025-09-08 23:52:18.280,4.037,1.709318
2025-09-08 23:52:18.287,4.044,1.720059
2025-09-08 23:52:18.294,4.051,1.702564
2025-09-08 23:52:18.301,4.058,1.709590
2025-09-08 23:52:18.308,4.065,1.698249
2025-09-08 23:52:18.315,4.072,1.686444
2025-09-08 23:52:18.322,4.079,1.690941
2025-09-08 23:52:18.329,4.086,1.686991
2025-09-08 23:52:18.336,4.093,1.686756
2025-09-08 23:52:18.343,4.100,1.690488
2025-09-08 23:52:18.350,4.107,1.698021
2025-09-08 23:52:18.357,4.114,1.709040
2025-09-08 23:52:18.364,4.121,1.698007
2025-09-08 23:52:18.371,4.128,1.705586
2025-09-08 23:52:18.379,4.136,1.698068
2025-09-08 23:52:18.386,4.143,1.701725
