diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,avg_offset,ideal_rnp_angle,k_rod,k_rod_avg,c_rod,predicted_angle,error
3,ccw,0,1,9.9375,0.2524125,10.68,-1.216,19.2828946,0.553858755,0.534,-0.431,9.866065714,-0.813934286
3,ccw,0,1,9.9375,0.2524125,7.79,-1.216,19.2828946,0.403984991,0.534,-0.431,9.866065714,2.076065714
3,ccw,0,1,9.9375,0.2524125,7.77,-1.216,19.2828946,0.402947802,0.534,-0.431,9.866065714,2.096065714
3,ccw,0,1,9.9375,0.2524125,7.69,-1.216,19.2828946,0.398799048,0.534,-0.431,9.866065714,2.176065714
3,ccw,0,1,9.9375,0.2524125,7.64,-1.216,19.2828946,0.396206076,0.534,-0.431,9.866065714,2.226065714
3,ccw,0,1,44.75,1.13665,45.33,-1.216,86.83366371,0.522032563,0.534,-0.431,45.93817642,0.608176422
3,ccw,0,1,44.75,1.13665,45.18,-1.216,86.83366371,0.520305122,0.534,-0.431,45.93817642,0.758176422
3,ccw,0,1,44.75,1.13665,44.62,-1.216,86.83366371,0.51385601,0.534,-0.431,45.93817642,1.318176422
3,ccw,0,1,44.75,1.13665,44.2,-1.216,86.83366371,0.509019177,0.534,-0.431,45.93817642,1.738176422
3,ccw,0,1,44.75,1.13665,43.63,-1.216,86.83366371,0.502454902,0.534,-0.431,45.93817642,2.308176422
3,ccw,0,1,89.5,2.2733,90.71,-1.216,173.6673274,0.52232047,0.534,-0.431,92.30735284,1.597352844
3,ccw,0,1,89.5,2.2733,90.35,-1.216,173.6673274,0.520247541,0.534,-0.431,92.30735284,1.957352844
3,ccw,0,1,89.5,2.2733,88.68,-1.216,173.6673274,0.510631454,0.534,-0.431,92.30735284,3.627352844
3,ccw,0,1,89.5,2.2733,87.31,-1.216,173.6673274,0.502742809,0.534,-0.431,92.30735284,4.997352844
3,ccw,0,1,134.25,3.40995,137.92,-1.216,260.5009911,0.529441364,0.534,-0.431,138.6765293,0.756529266
3,ccw,0,1,134.25,3.40995,134.96,-1.216,260.5009911,0.518078643,0.534,-0.431,138.6765293,3.716529266
3,ccw,0,1,134.25,3.40995,134.92,-1.216,260.5009911,0.517925093,0.534,-0.431,138.6765293,3.756529266
3,ccw,0,1,134.25,3.40995,134.85,-1.216,260.5009911,0.51765638,0.534,-0.431,138.6765293,3.826529266
3,ccw,0,1,134.25,3.40995,134.84,-1.216,260.5009911,0.517617992,0.534,-0.431,138.6765293,3.836529266
3,ccw,0,1,134.25,3.40995,134.8,-1.216,260.5009911,0.517464442,0.534,-0.431,138.6765293,3.876529266
3,cw,0,1,9.875,0.250825,10.59,-1.216,19.16161853,0.552667301,0.534,-0.431,9.801304294,-0.788695706
3,cw,0,1,9.875,0.250825,8.75,-1.216,19.16161853,0.45664201,0.534,-0.431,9.801304294,1.051304294
3,cw,0,1,9.875,0.250825,8.1,-1.216,19.16161853,0.422720032,0.534,-0.431,9.801304294,1.701304294
3,cw,0,1,9.875,0.250825,7.7,-1.216,19.16161853,0.401844969,0.534,-0.431,9.801304294,2.101304294
3,cw,0,1,9.875,0.250825,7.65,-1.216,19.16161853,0.399235586,0.534,-0.431,9.801304294,2.151304294
